Totales Territoriales;Comunidades y Ciudades Autónomas;Divisiones COICOP;Periodo;Total
Total Nacional;19 Melilla;01. Alimentos y bebidas no alcohólicas;2020;141.642
Total Nacional;19 Melilla;01. Alimentos y bebidas no alcohólicas;2019;127.603
Total Nacional;19 Melilla;01. Alimentos y bebidas no alcohólicas;2018;131.377
Total Nacional;19 Melilla;01. Alimentos y bebidas no alcohólicas;2017;129.181
Total Nacional;19 Melilla;01. Alimentos y bebidas no alcohólicas;2016;129.637
Total Nacional;19 Melilla;01. Alimentos y bebidas no alcohólicas;2015;132.133
Total Nacional;19 Melilla;01. Alimentos y bebidas no alcohólicas;2014;126.217
Total Nacional;19 Melilla;02. Bebidas alcohólicas, tabaco y narcóticos;2020;37.789
Total Nacional;19 Melilla;02. Bebidas alcohólicas, tabaco y narcóticos;2019;35.126
Total Nacional;19 Melilla;02. Bebidas alcohólicas, tabaco y narcóticos;2018;36.121
Total Nacional;19 Melilla;02. Bebidas alcohólicas, tabaco y narcóticos;2017;37.627
Total Nacional;19 Melilla;02. Bebidas alcohólicas, tabaco y narcóticos;2016;36.044
Total Nacional;19 Melilla;02. Bebidas alcohólicas, tabaco y narcóticos;2015;33.465
Total Nacional;19 Melilla;02. Bebidas alcohólicas, tabaco y narcóticos;2014;32.717
Total Nacional;19 Melilla;03. Artículos de vestir y calzado;2020;39.596
Total Nacional;19 Melilla;03. Artículos de vestir y calzado;2019;50.378
Total Nacional;19 Melilla;03. Artículos de vestir y calzado;2018;53.102
Total Nacional;19 Melilla;03. Artículos de vestir y calzado;2017;57.986
Total Nacional;19 Melilla;03. Artículos de vestir y calzado;2016;59.253
Total Nacional;19 Melilla;03. Artículos de vestir y calzado;2015;54.963
Total Nacional;19 Melilla;03. Artículos de vestir y calzado;2014;53.332
Total Nacional;19 Melilla;04. Vivienda, agua, electricidad, gas y otros combustibles;2020;199.826
Total Nacional;19 Melilla;04. Vivienda, agua, electricidad, gas y otros combustibles;2019;204.004
Total Nacional;19 Melilla;04. Vivienda, agua, electricidad, gas y otros combustibles;2018;198.948
Total Nacional;19 Melilla;04. Vivienda, agua, electricidad, gas y otros combustibles;2017;194.220
Total Nacional;19 Melilla;04. Vivienda, agua, electricidad, gas y otros combustibles;2016;187.403
Total Nacional;19 Melilla;04. Vivienda, agua, electricidad, gas y otros combustibles;2015;183.805
Total Nacional;19 Melilla;04. Vivienda, agua, electricidad, gas y otros combustibles;2014;183.826
Total Nacional;19 Melilla;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;43.226
Total Nacional;19 Melilla;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;47.397
Total Nacional;19 Melilla;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;49.827
Total Nacional;19 Melilla;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;47.629
Total Nacional;19 Melilla;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;45.904
Total Nacional;19 Melilla;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2015;46.435
Total Nacional;19 Melilla;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2014;40.985
Total Nacional;19 Melilla;06. Salud;2020;46.134
Total Nacional;19 Melilla;06. Salud;2019;54.946
Total Nacional;19 Melilla;06. Salud;2018;56.740
Total Nacional;19 Melilla;06. Salud;2017;49.553
Total Nacional;19 Melilla;06. Salud;2016;42.981
Total Nacional;19 Melilla;06. Salud;2015;51.492
Total Nacional;19 Melilla;06. Salud;2014;48.699
Total Nacional;19 Melilla;07. Transporte;2020;101.395
Total Nacional;19 Melilla;07. Transporte;2019;127.304
Total Nacional;19 Melilla;07. Transporte;2018;129.672
Total Nacional;19 Melilla;07. Transporte;2017;120.128
Total Nacional;19 Melilla;07. Transporte;2016;115.836
Total Nacional;19 Melilla;07. Transporte;2015;112.484
Total Nacional;19 Melilla;07. Transporte;2014;108.858
Total Nacional;19 Melilla;08. Comunicaciones;2020;28.086
Total Nacional;19 Melilla;08. Comunicaciones;2019;28.264
Total Nacional;19 Melilla;08. Comunicaciones;2018;28.488
Total Nacional;19 Melilla;08. Comunicaciones;2017;26.495
Total Nacional;19 Melilla;08. Comunicaciones;2016;23.426
Total Nacional;19 Melilla;08. Comunicaciones;2015;21.293
Total Nacional;19 Melilla;08. Comunicaciones;2014;20.658
Total Nacional;19 Melilla;09. Ocio, espectáculos y cultura;2020;42.216
Total Nacional;19 Melilla;09. Ocio, espectáculos y cultura;2019;60.954
Total Nacional;19 Melilla;09. Ocio, espectáculos y cultura;2018;58.826
Total Nacional;19 Melilla;09. Ocio, espectáculos y cultura;2017;52.589
Total Nacional;19 Melilla;09. Ocio, espectáculos y cultura;2016;47.493
Total Nacional;19 Melilla;09. Ocio, espectáculos y cultura;2015;43.437
Total Nacional;19 Melilla;09. Ocio, espectáculos y cultura;2014;41.385
Total Nacional;19 Melilla;10. Educación;2020;12.270
Total Nacional;19 Melilla;10. Educación;2019;12.996
Total Nacional;19 Melilla;10. Educación;2018;13.643
Total Nacional;19 Melilla;10. Educación;2017;12.289
Total Nacional;19 Melilla;10. Educación;2016;11.843
Total Nacional;19 Melilla;10. Educación;2015;12.495
Total Nacional;19 Melilla;10. Educación;2014;13.226
Total Nacional;19 Melilla;11. Hoteles, cafés y restaurantes;2020;62.563
Total Nacional;19 Melilla;11. Hoteles, cafés y restaurantes;2019;95.275
Total Nacional;19 Melilla;11. Hoteles, cafés y restaurantes;2018;93.767
Total Nacional;19 Melilla;11. Hoteles, cafés y restaurantes;2017;89.534
Total Nacional;19 Melilla;11. Hoteles, cafés y restaurantes;2016;87.060
Total Nacional;19 Melilla;11. Hoteles, cafés y restaurantes;2015;84.618
Total Nacional;19 Melilla;11. Hoteles, cafés y restaurantes;2014;73.348
Total Nacional;19 Melilla;12. Otros bienes y servicios;2020;88.600
Total Nacional;19 Melilla;12. Otros bienes y servicios;2019;73.132
Total Nacional;19 Melilla;12. Otros bienes y servicios;2018;75.414
Total Nacional;19 Melilla;12. Otros bienes y servicios;2017;100.855
Total Nacional;19 Melilla;12. Otros bienes y servicios;2016;105.848
Total Nacional;19 Melilla;12. Otros bienes y servicios;2015;67.230
Total Nacional;19 Melilla;12. Otros bienes y servicios;2014;71.844
Total Nacional;19 Melilla;Total gasto en consumo final de los hogares interior;2020;843.343
Total Nacional;19 Melilla;Total gasto en consumo final de los hogares interior;2019;917.379
Total Nacional;19 Melilla;Total gasto en consumo final de los hogares interior;2018;925.925
Total Nacional;19 Melilla;Total gasto en consumo final de los hogares interior;2017;918.086
Total Nacional;19 Melilla;Total gasto en consumo final de los hogares interior;2016;892.728
Total Nacional;19 Melilla;Total gasto en consumo final de los hogares interior;2015;843.850
Total Nacional;19 Melilla;Total gasto en consumo final de los hogares interior;2014;815.095
Total Nacional;19 Melilla;P.3. Gasto en consumo final de los hogares;2020;890.437
Total Nacional;19 Melilla;P.3. Gasto en consumo final de los hogares;2019;1.009.861
Total Nacional;19 Melilla;P.3. Gasto en consumo final de los hogares;2018;1.013.343
Total Nacional;19 Melilla;P.3. Gasto en consumo final de los hogares;2017;993.319
Total Nacional;19 Melilla;P.3. Gasto en consumo final de los hogares;2016;979.121
Total Nacional;19 Melilla;P.3. Gasto en consumo final de los hogares;2015;887.155
Total Nacional;19 Melilla;P.3. Gasto en consumo final de los hogares;2014;859.679
Total Nacional;19 Melilla;P.4. Consumo final efectivo de los hogares;2020;1.216.043
Total Nacional;19 Melilla;P.4. Consumo final efectivo de los hogares;2019;1.339.224
Total Nacional;19 Melilla;P.4. Consumo final efectivo de los hogares;2018;1.316.854
Total Nacional;19 Melilla;P.4. Consumo final efectivo de los hogares;2017;1.290.345
Total Nacional;19 Melilla;P.4. Consumo final efectivo de los hogares;2016;1.266.849
Total Nacional;19 Melilla;P.4. Consumo final efectivo de los hogares;2015;1.176.652
Total Nacional;19 Melilla;P.4. Consumo final efectivo de los hogares;2014;1.121.840
